np_id	pref_name	iupac_name	chembl_id	pubchem_cid	MW	LogS	LogD	LogP	nHA	nHD	TPSA	nRot	nRing	InChI	InChIKey	SMILES	LogP_pred	ALogp2	AMR	nHA_pred	nHD_pred	TPSA_pred	MW_pred	passes_lipinski_mw	passes_lipinski_logp	passes_lipinski_hbd	passes_lipinski_hba	passes_tpsa	passes_ADMET	compound
NPC1075	(Z)-3-(3,4-Dihydroxyphenyl)Prop-2-Enoic Acid	(Z)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid	CHEMBL1320034	1549111	124.05	-0.278	1.645	1.505	2	2	40.46	0	1	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-	QAIPRVGONGVQAS-RQOWECAXSA-N	OC(=O)/C=C\c1ccc(c(c1)O)O	1.3674	1.8697827599999999	46.523199999999996	4	3	77.76	180.15776881197593	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	(Z)-3-(3,4-Dihydroxyphenyl)Prop-2-Enoic Acid
NPC109813	Beta-Caryophyllene	(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene	CHEMBL445740	5281515	204.19	-5.81	4.756	5.341	0	0	0	0	2	InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1	NPNUFJAVOOONJE-GFUGXAQUSA-N	C/C/1=C\CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1	4.753299999999999	22.593860889999995	67.45240000000001	0	0	0	204.35161654363895	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Beta-Caryophyllene
NPC110609	Alkannin	5,8-dihydroxy-2-[(1S)-1-hydroxy-4-methylpent-3-enyl]naphthalene-1,4-dione	CHEMBL28457	72521	288.1	-3.46	2.936	4.519	5	4	97.99	3	2	InChI=1S/C16H16O5/c1-8(2)3-4-10(17)9-7-13(20)14-11(18)5-6-12(19)15(14)16(9)21/h3,5-7,10,17-19H,4H2,1-2H3/t10-/m0/s1	NEZONWMXZKDMKF-JTQLQIEISA-N	CC(=CC[C@@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C	2.394100000000001	5.731714810000004	79.32130000000002	5	3	94.83000000000001	288.2958510476676	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Alkannin
NPC13789	(-)-Caryophyllene Oxide	n.a.	CHEMBL508894	1742210	220.18	-5.296	4.183	4.536	1	0	12.53	0	3	InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1	NVEQFIOZRFFVFW-RGCMKSIDSA-N	C=C1CC[C@@H]2[C@@](C)(CC[C@@H]3[C@@H]1CC3(C)C)O2	3.519199999999999	12.384768639999994	66.2115	1	0	12.53	220.35102147120833	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	(-)-Caryophyllene Oxide
NPC173996	4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One	4,7,7-trimethylbicyclo[2.2.1]heptan-3-one	CHEMBL15768	2537	152.12	-2.294	2.179	2.324	1	0	17.07	0	2	InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3	DSSYKIVIOFKYAU-UHFFFAOYSA-N	O=C1CC2C(C1(C)CC2)(C)C	1.9357999999999982	3.747321639999993	44.492000000000004	1	0	17.07	152.23381595666206	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One
NPC216312	Acetylalkannin	[(1S)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] acetate	CHEMBL112415	9967285	330.11	-3.031	2.569	4.424	6	4	107.22	4	2	InChI=1S/C18H18O6/c1-9(2)4-7-15(24-10(3)19)11-8-14(22)16-12(20)5-6-13(21)17(16)18(11)23/h4-6,8,15,20-21H,7H2,1-3H3/t15-/m0/s1	WNFXUXZJJKTDOZ-HNNXBMFYSA-N	CC(=O)O[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)CC=C(C)C	2.7732000000000006	7.690638240000003	88.4728	6	2	100.9	330.3326092764645	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Acetylalkannin
NPC235059	Cinnamaldehyde	(E)-3-phenylprop-2-enal	CHEMBL293492	637511	132.06	-2.365	1.846	1.755	1	0	17.07	2	1	InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+	KJPRLNWUNMBNBZ-QPJJXVBHSA-N	O=C/C=C/c1ccccc1	1.9496000000000002	3.800940160000001	42.2096	1	0	17.07	132.15955402926775	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Cinnamaldehyde
NPC241349	Isobutylshikonin	[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 2-methylpropanoate	CHEMBL9416	479500	358.14	-3.173	3.255	5.218	6	4	107.22	5	2	InChI=1S/C20H22O6/c1-10(2)5-8-16(26-20(25)11(3)4)12-9-15(23)17-13(21)6-7-14(22)18(17)19(12)24/h5-7,9,11,16,21-22H,8H2,1-4H3/t16-/m1/s1	BVRYLTBIGIAADD-MRXNPFEDSA-N	CC(=CC[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)OC(=O)C(C)C)C	3.9026000000000014	15.230286760000011	97.67419999999998	6	2	100.9	358.38584408534376	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Isobutylshikonin
NPC246693	Shikonin	5,8-dihydroxy-2-[(1R)-1-hydroxy-4-methylpent-3-enyl]naphthalene-1,4-dione	CHEMBL9470	479503	288.1	-3.46	2.936	4.519	5	4	97.99	3	2	InChI=1S/C16H16O5/c1-8(2)3-4-10(17)9-7-13(20)14-11(18)5-6-12(19)15(14)16(9)21/h3,5-7,10,17-19H,4H2,1-2H3/t10-/m1/s1	NEZONWMXZKDMKF-SNVBAGLBSA-N	CC(=CC[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C	2.394100000000001	5.731714810000004	79.32130000000002	5	3	94.83000000000001	288.2958510476676	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Shikonin
NPC257003	Beta-Hydroxyisovalerylshikonin	[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 3-hydroxy-3-methylbutanoate	CHEMBL397309	479502	388.15	-3.271	2.702	4.378	7	5	127.45	6	2	InChI=1S/C21H24O7/c1-11(2)5-8-16(28-17(25)10-21(3,4)27)12-9-15(24)18-13(22)6-7-14(23)19(18)20(12)26/h5-7,9,16,22-23,27H,8,10H2,1-4H3/t16-/m1/s1	MXANJRGHSFELEJ-MRXNPFEDSA-N	CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)CC(C)(C)O)C	2.931899999999999	8.596037609999993	103.93020000000001	7	3	121.13000000000001	388.4118664173527	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Beta-Hydroxyisovalerylshikonin
