Ingredient_ID	Target_ID	Activity_Type	Activity_Relationship	Activity_Value	Activity_Unit	Reference_ID	Reference_ID_Type	Gene_Symbol	Protein_Name	Uniprot_ID	ChEMBL_ID	TTD_ID	if_DTP	if_CYP	if_therapeutic_target	Target_Class_Level1	Target_Class_Level2	Target_Class_Level3	Target_Class_level_displayed	Target_type
NPC29771	NPT143	IC50	=	77000	nM	455144	PMID	TOP1	DNA topoisomerase I	P11387	CHEMBL1781	T09826	0	0	1	Enzyme	Isomerase	n.a.	Isomerase	Therapeutic Target
NPC1075	NPT149	Potency	=	10000	nM	463095	PMID	HSD17B10	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	Q99714	CHEMBL4159	NA	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC1075	NPT48	Potency	=	11220.2	nM	463095	PMID	KDM4E	Lysine-specific demethylase 4D-like	B2RXH2	CHEMBL1293226	T17036	0	0	1	Epigenetic regulator	Eraser	Lysine demethylase	Lysine demethylase	Therapeutic Target
NPC1075	NPT210	Potency	=	7943.3	nM	463095	PMID	TSHR	Thyroid stimulating hormone receptor	P16473	CHEMBL1963	T60606	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Peptide receptor (family A GPCR)	Therapeutic Target
NPC1075	NPT210	Potency	=	794.3	nM	463096	PMID	TSHR	Thyroid stimulating hormone receptor	P16473	CHEMBL1963	T60606	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Peptide receptor (family A GPCR)	Therapeutic Target
NPC1075	NPT211	Potency	=	7943.3	nM	463095	PMID	HIF1A	Hypoxia-inducible factor 1 alpha	Q16665	CHEMBL4261	NA	0	0	1	Transcription factor	n.a.	n.a.	Transcription factor	Therapeutic Target
NPC1075	NPT211	Potency	=	7943.3	nM	463095	PMID	HIF1A	Hypoxia-inducible factor 1 alpha	Q16665	CHEMBL4261	NA	0	0	1	Transcription factor	n.a.	n.a.	Transcription factor	Therapeutic Target
NPC1075	NPT210	Potency	=	794.3	nM	463096	PMID	TSHR	Thyroid stimulating hormone receptor	P16473	CHEMBL1963	T60606	0	0	1	Membrane receptor	Family A G protein-coupled receptor	Peptide receptor (family A GPCR)	Peptide receptor (family A GPCR)	Therapeutic Target
NPC1075	NPT149	Potency	=	50.1	nM	463095	PMID	HSD17B10	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	Q99714	CHEMBL4159	NA	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
NPC1075	NPT149	Potency	=	158.5	nM	463097	PMID	HSD17B10	Endoplasmic reticulum-associated amyloid beta-peptide-binding protein	Q99714	CHEMBL4159	NA	0	0	1	Enzyme	Oxidoreductase	n.a.	Oxidoreductase	Therapeutic Target
