Ingredient_ID	Gene_Symbol
NPC29771	TOP1
NPC1075	HSD17B10
NPC1075	KDM4E
NPC1075	TSHR
NPC1075	HIF1A
NPC1075	CYP2C9
NPC235059	TRPA1
NPC235059	PTGS2
NPC235059	LMNA
NPC235059	ALDH1A1
NPC235059	MAPK1
NPC235059	ALOX5
NPC257124	PTGS2
NPC257124	PTGS1
NPC257124	AR
NPC257124	ALDH1A1
NPC257124	CYP3A4
NPC257124	CACNA1C
NPC257124	TRPA1
NPC257124	ALOX5
NPC109813	CNR2
NPC173996	MAPT
NPC96835	CYP2A6
NPC96835	HSD17B10
NPC96835	TDP1
NPC96835	TSHR
NPC96835	ALDH1A1
NPC241349	TOP1
NPC259134	LMNA
NPC259134	TSHR
NPC259134	TP53
NPC259134	CYP3A4
NPC292758	HIF1A
NPC292758	CYP2D6
NPC292758	CYP1A2
NPC299405	TOP1
NPC299405	TERT
NPC246693	TOP1
NPC246693	PTPN1
NPC246693	RECQL
NPC246693	SMN1
NPC246693	MAPT
NPC246693	THRB
NPC246693	ALDH1A1
NPC246693	PKM
NPC246693	CDC25A
NPC246693	CDC25B
NPC246693	EGFR
