"np_id","pref_name","iupac_name","chembl_id","pubchem_cid","LogS","LogD","LogP","nHA","nHD","nRot","nRing","InChI","InChIKey","SMILES_ingredient","SMILES_admet","XLOGP3","RTB","Fcsp3","ESOL","Prediction_Hob","Prediction_Swissadme","Prediction_Hob&Swissadme","MW","TPSA","LogP_pred","ALogp2","AMR","nHA_pred","nHD_pred","TPSA_pred","MW_pred","passes_lipinski_mw","passes_lipinski_logp","passes_lipinski_hbd","passes_lipinski_hba","passes_tpsa","passes_ADMET","compound"
"NPC1075","(Z)-3-(3,4-Dihydroxyphenyl)Prop-2-Enoic Acid","(Z)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid","CHEMBL1320034",1549111,-0.278,1.645,1.15,2,2,2,1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-","QAIPRVGONGVQAS-RQOWECAXSA-N","OC(=O)/C=C\c1ccc(c(c1)O)O","OC(=O)/C=C\c1ccc(c(c1)O)O",1.15,2,0,-1.89102426153846,1,0,0,180.159,77.76,1.3674,1.86978276,46.5232,4,3,77.76,180.157768811976,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"(Z)-3-(3,4-Dihydroxyphenyl)Prop-2-Enoic Acid"
"NPC109813","Beta-Caryophyllene","(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene","CHEMBL445740",5281515,-5.81,4.756,4.38,0,0,0,2,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1","NPNUFJAVOOONJE-GFUGXAQUSA-N","C/C/1=C\CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1","C/C/1=C\CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1",4.38,0,0.733333333333333,-3.8664134,1,0,0,204.357,0,4.7533,22.59386089,67.4524,0,0,0,204.351616543639,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Beta-Caryophyllene"
"NPC110609","Alkannin","5,8-dihydroxy-2-[(1S)-1-hydroxy-4-methylpent-3-enyl]naphthalene-1,4-dione","CHEMBL28457",72521,-3.46,2.936,2.96,5,4,3,2,"InChI=1S/C16H16O5/c1-8(2)3-4-10(17)9-7-13(20)14-11(18)5-6-12(19)15(14)16(9)21/h3,5-7,10,17-19H,4H2,1-2H3/t10-/m0/s1","NEZONWMXZKDMKF-JTQLQIEISA-N","CC(=CC[C@@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C","CC(=CC[C@@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C",2.96,3,0.25,-3.50568237142857,1,0,0,288.299,94.83,2.3941,5.73171481,79.3213,5,3,94.83,288.295851047668,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Alkannin"
"NPC113428","Shikonofuran C","[1-[5-(2,5-dihydroxyphenyl)furan-3-yl]-4-methylpent-3-enyl] 3-methylbutanoate","CHEMBL1946217",5321288,-4.058,4.489,4.89,5,2,8,2,"InChI=1S/C21H26O5/c1-13(2)5-8-19(26-21(24)9-14(3)4)15-10-20(25-12-15)17-11-16(22)6-7-18(17)23/h5-7,10-12,14,19,22-23H,8-9H2,1-4H3","RQSVDMLEQSPRMK-UHFFFAOYSA-N","CC(CC(=O)OC(c1coc(c1)c1cc(O)ccc1O)CC=C(C)C)C","CC(CC(=O)OC(c1coc(c1)c1cc(O)ccc1O)CC=C(C)C)C",4.89,8,0.380952380952381,-4.92806772307692,1,1,1,358.434,79.9,5.1737,26.76717169,100.2602,4,2,79.9,358.428938069865,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"Shikonofuran C"
"NPC13789","(-)-Caryophyllene Oxide","n.a.","CHEMBL508894",1742210,-5.296,4.183,3.56,1,0,0,3,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1","NVEQFIOZRFFVFW-RGCMKSIDSA-N","C=C1CC[C@@H]2[C@@](C)(CC[C@@H]3[C@@H]1CC3(C)C)O2","C=C1CC[C@@H]2[C@@](C)(CC[C@@H]3[C@@H]1CC3(C)C)O2",3.56,0,0.866666666666667,-3.4490072,1,0,0,220.356,12.53,3.5192,12.38476864,66.2115,1,0,12.53,220.351021471208,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"(-)-Caryophyllene Oxide"
"NPC159589","Chloramphenicol","2,2-dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide","CHEMBL130",5959,-1.909,0.497,1.27,7,3,6,1,"InChI=1S/C11H12Cl2N2O5/c12-10(13)11(18)14-8(5-16)9(17)6-1-3-7(4-2-6)15(19)20/h1-4,8-10,16-17H,5H2,(H,14,18)/t8-,9-/m1/s1","WIIZWVCIJKGZOK-RKDXNWHRSA-N","c1cc(ccc1[C@H]([C@@H](CO)N=C(C(Cl)Cl)O)O)N(=O)=O","c1cc(ccc1[C@H]([C@@H](CO)N=C(C(Cl)Cl)O)O)N(=O)=O",1.27,6,0.363636363636364,-2.4695184,1,1,1,323.132,116.19,-0.817799999999999,0.668796839999999,72.6999,4,3,118.87,323.129690118864,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Chloramphenicol"
"NPC173996","4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One","4,7,7-trimethylbicyclo[2.2.1]heptan-3-one","CHEMBL15768",2537,-2.294,2.179,2.19,1,0,0,2,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3","DSSYKIVIOFKYAU-UHFFFAOYSA-N","O=C1CC2C(C1(C)CC2)(C)C","O=C1CC2C(C1(C)CC2)(C)C",2.19,0,0.9,-2.1635694,1,0,0,152.237,17.07,1.9358,3.74732163999999,44.492,1,0,17.07,152.233815956662,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One"
"NPC216312","Acetylalkannin","[(1S)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] acetate","CHEMBL112415",9967285,-3.031,2.569,3.54,6,4,5,2,"InChI=1S/C18H18O6/c1-9(2)4-7-15(24-10(3)19)11-8-14(22)16-12(20)5-6-13(21)17(16)18(11)23/h4-6,8,15,20-21H,7H2,1-3H3/t15-/m0/s1","WNFXUXZJJKTDOZ-HNNXBMFYSA-N","CC(=O)O[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)CC=C(C)C","CC(=O)O[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)CC=C(C)C",3.54,5,0.277777777777778,-3.9732832,1,1,1,330.336,100.9,2.7732,7.69063824,88.4728,6,2,100.9,330.332609276464,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Acetylalkannin"
"NPC234053","Griseofulvin","(2S,5'R)-7-chloro-3',4,6-trimethoxy-5'-methylspiro[1-benzofuran-2,4'-cyclohex-2-ene]-1',3-dione","CHEMBL562",441140,-4.621,1.619,2.18,6,0,3,3,"InChI=1S/C17H17ClO6/c1-8-5-9(19)6-12(23-4)17(8)16(20)13-10(21-2)7-11(22-3)14(18)15(13)24-17/h6-8H,5H2,1-4H3/t8-,17+/m1/s1","DDUHZTYCFQRHIY-RBHXEPJQSA-N","COC1=CC(=O)C[C@H]([C@@]21Oc1c(C2=O)c(OC)cc(c1Cl)OC)C","COC1=CC(=O)C[C@H]([C@@]21Oc1c(C2=O)c(OC)cc(c1Cl)OC)C",2.18,3,0.411764705882353,-3.387574,1,1,1,352.77,71.06,2.1687,4.70325969,87.9208,3,0,71.06,352.766870204035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Griseofulvin"
"NPC241349","Isobutylshikonin","[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 2-methylpropanoate","CHEMBL9416",479500,-3.173,3.255,4.58,6,4,6,2,"InChI=1S/C20H22O6/c1-10(2)5-8-16(26-20(25)11(3)4)12-9-15(23)17-13(21)6-7-14(22)18(17)19(12)24/h5-7,9,11,16,21-22H,8H2,1-4H3/t16-/m1/s1","BVRYLTBIGIAADD-MRXNPFEDSA-N","CC(=CC[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)OC(=O)C(C)C)C","CC(=CC[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)OC(=O)C(C)C)C",4.58,6,0.35,-4.72218723076923,1,1,1,358.39,100.9,3.9026,15.23028676,97.6742,6,2,100.9,358.385844085344,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Isobutylshikonin"
"NPC246693","Shikonin","5,8-dihydroxy-2-[(1R)-1-hydroxy-4-methylpent-3-enyl]naphthalene-1,4-dione","CHEMBL9470",479503,-3.46,2.936,2.96,5,4,3,2,"InChI=1S/C16H16O5/c1-8(2)3-4-10(17)9-7-13(20)14-11(18)5-6-12(19)15(14)16(9)21/h3,5-7,10,17-19H,4H2,1-2H3/t10-/m1/s1","NEZONWMXZKDMKF-SNVBAGLBSA-N","CC(=CC[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C","CC(=CC[C@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)O)C",2.96,3,0.25,-3.50568237142857,1,0,0,288.299,94.83,2.3941,5.73171481,79.3213,5,3,94.83,288.295851047668,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Shikonin"
"NPC257003","Beta-Hydroxyisovalerylshikonin","[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 3-hydroxy-3-methylbutanoate","CHEMBL397309",479502,-3.271,2.702,3.4,7,5,7,2,"InChI=1S/C21H24O7/c1-11(2)5-8-16(28-17(25)10-21(3,4)27)12-9-15(24)18-13(22)6-7-14(23)19(18)20(12)26/h5-7,9,16,22-23,27H,8,10H2,1-4H3/t16-/m1/s1","MXANJRGHSFELEJ-MRXNPFEDSA-N","CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)CC(C)(C)O)C","CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)CC(C)(C)O)C",3.4,7,0.380952380952381,-4.08675062857143,1,1,1,388.416,121.13,2.9319,8.59603760999999,103.9302,7,3,121.13,388.411866417353,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Beta-Hydroxyisovalerylshikonin"
"NPC257124","Eugenol","2-methoxy-4-prop-2-enylphenol","CHEMBL42710",3314,-2.286,2.418,2.27,2,1,3,1,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3","RRAFCDWBNXTKKO-UHFFFAOYSA-N","C=CCc1ccc(c(c1)OC)O","C=CCc1ccc(c(c1)OC)O",2.27,3,0.2,-2.4601648,1,0,0,164.204,29.46,2.5541,6.52342681,48.5026,1,1,29.46,164.201457868928,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eugenol"
"NPC292758","(1R)-2-[(2R,6R)-6-[(2S)-2-Hydroxy-2-Phenylethyl]-1-Methylpiperidin-2-Yl]-1-Phenylethanol","(1R)-2-[(2R,6R)-6-[(2S)-2-hydroxy-2-phenylethyl]-1-methylpiperidin-2-yl]-1-phenylethanol","CHEMBL1473116",6604328,-2.783,2.724,3.64,3,2,6,3,"InChI=1S/C22H29NO2/c1-23-19(15-21(24)17-9-4-2-5-10-17)13-8-14-20(23)16-22(25)18-11-6-3-7-12-18/h2-7,9-12,19-22,24-25H,8,13-16H2,1H3/t19-,20-,21-,22+/m1/s1","OWGJQNXIWMMDTH-YSFYHYPLSA-N","CN1[C@H](CCC[C@@H]1C[C@@H](c1ccccc1)O)C[C@H](c1ccccc1)O","CN1[C@H](CCC[C@@H]1C[C@@H](c1ccccc1)O)C[C@H](c1ccccc1)O",3.64,6,0.454545454545454,-4.1971698,0,1,0,339.479,43.7,3.5651,12.70993801,102.3507,3,2,43.7,339.471984652459,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"(1R)-2-[(2R,6R)-6-[(2S)-2-Hydroxy-2-Phenylethyl]-1-Methylpiperidin-2-Yl]-1-Phenylethanol"
"NPC29771","Dimethylacrylshikonin","[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 3-methylbut-2-enoate","CHEMBL267024",479499,-3.193,3.076,4.98,6,4,6,2,"InChI=1S/C21H22O6/c1-11(2)5-8-17(27-18(25)9-12(3)4)13-10-16(24)19-14(22)6-7-15(23)20(19)21(13)26/h5-7,9-10,17,22-23H,8H2,1-4H3/t17-/m1/s1","BATBOVZTQBLKIL-QGZVFWFLSA-N","CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)C=C(C)C)C","CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)C=C(C)C)C",4.98,6,0.285714285714286,-5.04233064444445,1,1,1,370.401,100.9,4.3195,18.65808025,103.1511,6,2,100.9,370.396579982132,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Dimethylacrylshikonin"
"NPC299405","Acetylshikonin","[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] acetate","CHEMBL403516",479501,-3.031,2.569,3.54,6,4,5,2,"InChI=1S/C18H18O6/c1-9(2)4-7-15(24-10(3)19)11-8-14(22)16-12(20)5-6-13(21)17(16)18(11)23/h4-6,8,15,20-21H,7H2,1-3H3/t15-/m1/s1","WNFXUXZJJKTDOZ-OAHLLOKOSA-N","CC(=O)O[C@@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)CC=C(C)C","CC(=O)O[C@@H](C1=CC(=O)c2c(C1=O)c(O)ccc2O)CC=C(C)C",3.54,5,0.277777777777778,-3.9732832,1,1,1,330.336,100.9,2.7732,7.69063824,88.4728,6,2,100.9,330.332609276464,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Acetylshikonin"
"NPC306765","Deoxyshikonin","5,8-dihydroxy-2-(4-methylpent-3-enyl)naphthalene-1,4-dione","CHEMBL486627",98914,-2.988,3.242,4.07,4,4,3,2,"InChI=1S/C16H16O4/c1-9(2)4-3-5-10-8-13(19)14-11(17)6-7-12(18)15(14)16(10)20/h4,6-8,17-18H,3,5H2,1-2H3","VOMDIEGPEURZJO-UHFFFAOYSA-N","CC(=CCCC1=CC(=O)c2c(C1=O)c(O)ccc2O)C","CC(=CCCC1=CC(=O)c2c(C1=O)c(O)ccc2O)C",4.07,3,0.25,-4.11636,1,0,0,272.3,74.6,3.496,12.222016,77.8062,4,2,74.6,272.296446120098,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Deoxyshikonin"
"NPC32749","[(1R)-1-(5,8-Dihydroxy-1,4-Dioxonaphthalen-2-Yl)-4-Methylpent-3-Enyl] 3-Methylbutanoate","[(1R)-1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 3-methylbutanoate","CHEMBL395857",479497,-3.346,3.53,4.8,6,4,7,2,"InChI=1S/C21H24O6/c1-11(2)5-8-17(27-18(25)9-12(3)4)13-10-16(24)19-14(22)6-7-15(23)20(19)21(13)26/h5-7,10,12,17,22-23H,8-9H2,1-4H3/t17-/m1/s1","UTOUNDHZJFIVPK-QGZVFWFLSA-N","CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)CC(C)C)C","CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)CC(C)C)C",4.8,7,0.380952380952381,-4.87542984444445,1,1,1,372.417,100.9,4.1481,17.20673361,102.2493,6,2,100.9,372.412461489783,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"[(1R)-1-(5,8-Dihydroxy-1,4-Dioxonaphthalen-2-Yl)-4-Methylpent-3-Enyl] 3-Methylbutanoate"
"NPC61284","Shikonofuran D","[1-[5-(2,5-dihydroxyphenyl)furan-3-yl]-4-methylpent-3-enyl] 2-methylpropanoate","CHEMBL1946216",5321289,-3.675,4.01,4.66,5,2,7,2,"InChI=1S/C20H24O5/c1-12(2)5-8-18(25-20(23)13(3)4)14-9-19(24-11-14)16-10-15(21)6-7-17(16)22/h5-7,9-11,13,18,21-22H,8H2,1-4H3","CXGBJXJKCPQSQI-UHFFFAOYSA-N","CC(=CCC(c1cc(c2cc(ccc2O)O)oc1)OC(=O)C(C)C)C","CC(=CCC(c1cc(c2cc(ccc2O)O)oc1)OC(=O)C(C)C)C",4.66,7,0.35,-4.7747234,1,1,1,344.407,79.9,4.9282,24.28715524,95.6851,4,2,79.9,344.402320665426,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Shikonofuran D"
"NPC68752","WNFXUXZJJKTDOZ-UHFFFAOYSA-N","n.a.","n.a.",32464,-3.031,2.569,3.54,6,4,5,2,"InChI=1S/C18H18O6/c1-9(2)4-7-15(24-10(3)19)11-8-14(22)16-12(20)5-6-13(21)17(16)18(11)23/h4-6,8,15,20-21H,7H2,1-3H3","WNFXUXZJJKTDOZ-UHFFFAOYSA-N","CC(=CCC(C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)C)C","CC(=CCC(C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)C)C",3.54,5,0.277777777777778,-3.9732832,1,1,1,330.336,100.9,2.7732,7.69063824,88.4728,6,2,100.9,330.332609276465,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"WNFXUXZJJKTDOZ-UHFFFAOYSA-N"
"NPC96835","Phenanthrene","phenanthrene","CHEMBL46730",995,-5.966,3.995,4.46,0,0,0,3,"InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H","YNPNZTXNASCQKK-UHFFFAOYSA-N","c1ccc2c(c1)c1ccccc1cc2","c1ccc2c(c1)c1ccccc1cc2",4.46,0,0,-4.4948508,1,0,0,178.234,0,3.6468,13.29915024,58.9584,0,0,0,178.22971009329,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Phenanthrene"
