"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006631","fatty acid metabolic process","14/43","405/18986",0.0345679012345679,15.2629342520815,13.8234676042973,1.44349797705697e-13,3.16559106368594e-10,1.66382135250251e-10,"HSD17B10/CYP2C9/PTGS2/ALOX5/PTGS1/CYP3A4/CYP2A6/FABP5/PPARD/PPARG/PPARA/CYP2D6/CYP1A2/HPGD",14
"GO:0033559","unsaturated fatty acid metabolic process","9/43","114/18986",0.0789473684210526,34.8580171358629,17.2750825391107,3.49854855668718e-12,3.30516433677195e-09,1.73718047796351e-09,"CYP2C9/PTGS2/ALOX5/PTGS1/CYP2A6/FABP5/CYP2D6/CYP1A2/HPGD",9
"GO:1902893","regulation of miRNA transcription","8/43","76/18986",0.105263157894737,46.4773561811505,18.9265470938031,5.84841108636752e-12,3.30516433677195e-09,1.73718047796351e-09,"HIF1A/AR/PPARD/PPARG/PPARA/TP53/TERT/EGFR",8
"GO:0061614","miRNA transcription","8/43","77/18986",0.103896103896104,45.8737541528239,18.7983025386798,6.51576928719376e-12,3.30516433677195e-09,1.73718047796351e-09,"HIF1A/AR/PPARD/PPARG/PPARA/TP53/TERT/EGFR",8
"GO:0006690","icosanoid metabolic process","9/43","124/18986",0.0725806451612903,32.0468867216804,16.5253314265481,7.53571440212483e-12,3.30516433677195e-09,1.73718047796351e-09,"CYP2C9/PTGS2/ALOX5/PTGS1/CYP2A6/FABP5/CYP2D6/CYP1A2/HPGD",9
"GO:2000628","regulation of miRNA metabolic process","8/43","92/18986",0.0869565217391304,38.3943377148635,17.1298260560094,2.81208218859767e-11,1.02781603993245e-08,5.40215788862184e-09,"HIF1A/AR/PPARD/PPARG/PPARA/TP53/TERT/EGFR",8
"GO:0019369","arachidonate metabolic process","7/43","58/18986",0.120689655172414,53.2886928628709,19.0013547988288,5.05060061415817e-11,1.58228102097841e-08,8.3164025150424e-09,"CYP2C9/PTGS2/ALOX5/PTGS1/CYP2A6/CYP2D6/CYP1A2",7
"GO:0120254","olefinic compound metabolic process","9/43","163/18986",0.0552147239263804,24.3792267085176,14.282185593128,8.91268945188595e-11,2.44319099599823e-08,1.28413091444936e-08,"CYP2C9/PTGS2/ALDH1A1/ALOX5/PTGS1/CYP3A4/CYP2A6/CYP2D6/CYP1A2",9
"GO:0001676","long-chain fatty acid metabolic process","8/43","109/18986",0.073394495412844,32.4062299978664,15.6667068378256,1.11610268430195e-10,2.6352440992083e-08,1.38507321795814e-08,"CYP2C9/PTGS2/ALOX5/PTGS1/CYP3A4/CYP2A6/CYP2D6/CYP1A2",8
"GO:0010586","miRNA metabolic process","8/43","110/18986",0.0727272727272727,32.1116279069767,15.591189250709,1.20166169594541e-10,2.6352440992083e-08,1.38507321795814e-08,"HIF1A/AR/PPARD/PPARG/PPARA/TP53/TERT/EGFR",8
"GO:0016098","monoterpenoid metabolic process","4/43","6/18986",0.666666666666667,294.356589147287,34.2403753998173,3.40900295877843e-10,6.79631226236463e-08,3.57211314819366e-08,"CYP2C9/CYP3A4/CYP2D6/CYP1A2",4
"GO:0072330","monocarboxylic acid biosynthetic process","9/43","224/18986",0.0401785714285714,17.7402408637874,12.0077405260692,1.50136728375869e-09,2.743748711069e-07,1.44210278571558e-07,"HSD17B10/CYP2C9/PTGS2/ALOX5/PTGS1/CYP3A4/FABP5/CYP2D6/CYP1A2",9
"GO:0071456","cellular response to hypoxia","8/43","156/18986",0.0512820512820513,22.6428145497913,12.9320098341083,1.97093141733187e-09,3.32480969092984e-07,1.74750599350478e-07,"HIF1A/PTGS2/LMNA/PPARD/PPARG/PTPN1/TP53/TERT",8
"GO:0042178","xenobiotic catabolic process","5/43","25/18986",0.2,88.3069767441861,20.8115048185523,2.40726942437589e-09,3.4646492647393e-07,1.82100508550629e-07,"CYP2C9/CYP3A4/CYP2A6/CYP2D6/CYP1A2",5
