"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0120254","olefinic compound metabolic process","9/24","163/18986",0.0552147239263804,43.6794478527607,19.4687031769975,2.37508873694013e-13,3.26232613855562e-10,1.4822827624883e-10,"CYP2C9/ALDH1A1/CYP2A6/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6/CYP3A4",9
"BP","GO:0019369","arachidonate metabolic process","7/24","58/18986",0.120689655172414,95.4755747126437,25.6359860215073,5.67280645242082e-13,3.26232613855562e-10,1.4822827624883e-10,"CYP2C9/CYP2A6/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6",7
"BP","GO:0001676","long-chain fatty acid metabolic process","8/24","109/18986",0.073394495412844,58.0611620795107,21.2547608865786,6.19429013649802e-13,3.26232613855562e-10,1.4822827624883e-10,"CYP2C9/CYP2A6/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6/CYP3A4",8
"BP","GO:0033559","unsaturated fatty acid metabolic process","7/24","114/18986",0.0614035087719298,48.5752923976608,18.1256578747642,7.42879329318347e-11,2.93437335080747e-08,1.33327290156609e-08,"CYP2C9/CYP2A6/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6",7
"BP","GO:0042178","xenobiotic catabolic process","5/24","25/18986",0.2,158.216666666667,27.9838084735834,1.0808421415312e-10,3.41546116723859e-08,1.55186176952479e-08,"CYP2C9/CYP2A6/CYP1A2/CYP2D6/CYP3A4",5
"BP","GO:0006690","icosanoid metabolic process","7/24","124/18986",0.0564516129032258,44.6579301075269,17.35197702833,1.3483884881315e-10,3.55075635207962e-08,1.61333499808015e-08,"CYP2C9/CYP2A6/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6",7
"BP","GO:0042759","long-chain fatty acid biosynthetic process","5/24","27/18986",0.185185185185185,146.496913580247,26.9151497214521,1.63957859154565e-10,3.70076310663162e-08,1.68149263072802e-08,"CYP2C9/CYP1A2/ALOX5/CYP2D6/CYP3A4",5
"BP","GO:0070989","oxidative demethylation","4/24","10/18986",0.4,316.433333333333,35.495565536437,4.10210064955637e-10,8.10164878287383e-08,3.68109558289137e-08,"CYP2C9/CYP1A2/CYP2D6/CYP3A4",4
"BP","GO:0006633","fatty acid biosynthetic process","7/24","165/18986",0.0424242424242424,33.5611111111111,14.9447512757719,1.00711556772947e-09,1.76804733001396e-07,8.03336628294149e-08,"CYP2C9/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6/CYP3A4",7
"BP","GO:0009410","response to xenobiotic stimulus","9/24","451/18986",0.0199556541019956,15.7865853658537,11.3065139035366,2.11947000045184e-09,3.28415242596783e-07,1.49219983644907e-07,"CYP2C9/TP53/EGFR/CYP2A6/CYP1A2/TOP1/PTGS2/CYP2D6/CYP3A4",9
"BP","GO:0006721","terpenoid metabolic process","6/24","100/18986",0.06,47.465,16.5739032484463,2.28643523326874e-09,3.28415242596783e-07,1.49219983644907e-07,"CYP2C9/EGFR/ALDH1A1/CYP1A2/CYP2D6/CYP3A4",6
"BP","GO:0070988","demethylation","4/24","15/18986",0.266666666666667,210.955555555556,28.9398808556065,2.65514612259685e-09,3.49594239475253e-07,1.58842952246584e-07,"CYP2C9/CYP1A2/CYP2D6/CYP3A4",4
"BP","GO:0071466","cellular response to xenobiotic stimulus","7/24","198/18986",0.0353535353535354,27.9675925925926,13.5707343257432,3.59322208787538e-09,4.36714684526392e-07,1.98427325014657e-07,"CYP2C9/TP53/EGFR/CYP2A6/CYP1A2/CYP2D6/CYP3A4",7
"BP","GO:0046394","carboxylic acid biosynthetic process","8/24","331/18986",0.0241691842900302,19.1198388721047,11.8314930277376,4.52411547999124e-09,5.10578747027583e-07,2.31988477996543e-07,"CYP2C9/ALDH1A1/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6/CYP3A4",8
"BP","GO:0016053","organic acid biosynthetic process","8/24","334/18986",0.0239520958083832,18.9481037924152,11.7732930129519,4.85542944698281e-09,5.11438568415522e-07,2.32379149673142e-07,"CYP2C9/ALDH1A1/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6/CYP3A4",8
"BP","GO:0006720","isoprenoid metabolic process","6/24","120/18986",0.05,39.5541666666667,15.0726938800159,6.89284058581894e-09,6.8066800784962e-07,3.09270873653192e-07,"CYP2C9/EGFR/ALDH1A1/CYP1A2/CYP2D6/CYP3A4",6
"BP","GO:1902895","positive regulation of miRNA transcription","5/24","56/18986",0.0892857142857143,70.6324404761905,18.5651803960668,7.57218761392836e-09,7.03768025294518e-07,3.19766684377656e-07,"TP53/EGFR/TERT/AR/HIF1A",5
"BP","GO:0072330","monocarboxylic acid biosynthetic process","7/24","224/18986",0.03125,24.7213541666667,12.7055295775117,8.45488680494267e-09,7.42151175100523e-07,3.37206596548006e-07,"CYP2C9/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6/CYP3A4",7
"BP","GO:2000630","positive regulation of miRNA metabolic process","5/24","67/18986",0.0746268656716418,59.0360696517413,16.929929767312,1.89696313356633e-08,1.57747460580779e-06,7.16747289247776e-07,"TP53/EGFR/TERT/AR/HIF1A",5
"BP","GO:0006631","fatty acid metabolic process","8/24","405/18986",0.0197530864197531,15.6263374485597,10.5851595703834,2.18238682676493e-08,1.72408559314429e-06,7.83362008344042e-07,"CYP2C9/CYP2A6/CYP1A2/PTGS1/PTGS2/ALOX5/CYP2D6/CYP3A4",8
"BP","GO:1902893","regulation of miRNA transcription","5/24","76/18986",0.0657894736842105,52.0449561403509,15.862904775398,3.6016526484605e-08,2.70981484979409e-06,1.2312416572682e-06,"TP53/EGFR/TERT/AR/HIF1A",5
"BP","GO:0061614","miRNA transcription","5/24","77/18986",0.0649350649350649,51.3690476190476,15.755916530799,3.84854958186546e-08,2.76395833606701e-06,1.25584249513504e-06,"TP53/EGFR/TERT/AR/HIF1A",5
