"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","geneSymbol"
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","6/22","115/9397",0.0521739130434783,22.2853754940711,11.1251701109563,1.87401195389572e-07,1.88407989566216e-05,1.01009840761227e-05,"5594/1559/5742/5743/240/1565",6,"MAPK1/CYP2C9/PTGS1/PTGS2/ALOX5/CYP2D6"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","5/22","68/9397",0.0735294117647059,31.4070855614973,12.190146143108,4.09158515401943e-07,1.88407989566216e-05,1.01009840761227e-05,"1559/216/1548/1544/1576",5,"CYP2C9/ALDH1A1/CYP2A6/CYP1A2/CYP3A4"
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","5/22","71/9397",0.0704225352112676,30.0800256081946,11.9144352032093,5.08729704855798e-07,1.88407989566216e-05,1.01009840761227e-05,"1559/1548/1544/5743/1576",5,"CYP2C9/CYP2A6/CYP1A2/PTGS2/CYP3A4"
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","5/22","71/9397",0.0704225352112676,30.0800256081946,11.9144352032093,5.08729704855798e-07,1.88407989566216e-05,1.01009840761227e-05,"5594/7157/1956/5315/3091",5,"MAPK1/TP53/EGFR/PKM/HIF1A"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","5/22","73/9397",0.0684931506849315,29.2559153175592,11.739967218335,5.85117980019304e-07,1.88407989566216e-05,1.01009840761227e-05,"1559/1548/1544/1565/1576",5,"CYP2C9/CYP2A6/CYP1A2/CYP2D6/CYP3A4"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","5/22","79/9397",0.0632911392405063,27.0339470655926,11.2561381923887,8.70008029764818e-07,2.33452154653559e-05,1.25159049895991e-05,"1559/1548/1544/1565/1576",5,"CYP2C9/CYP2A6/CYP1A2/CYP2D6/CYP3A4"
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","6/22","217/9397",0.0276497695852535,11.8102220360285,7.80441485344117,7.74921649596691e-06,0.000178231979407239,9.55542485216972e-05,"5594/1956/993/1544/367/1576",6,"MAPK1/EGFR/CDC25A/CYP1A2/AR/CYP3A4"
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","4/22","63/9397",0.0634920634920635,27.1197691197691,10.0763423959191,1.22576834596699e-05,0.000246685879625857,0.000132253953117491,"1559/5742/5743/240",4,"CYP2C9/PTGS1/PTGS2/ALOX5"
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","3/22","30/9397",0.1,42.7136363636364,11.0849981352165,4.34082168695733e-05,0.00077652476844459,0.000416312723193569,"1559/1544/1576",3,"CYP2C9/CYP1A2/CYP3A4"
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","6/22","318/9397",0.0188679245283019,8.05917667238422,6.20362888534717,6.75454733058599e-05,0.00104707754892926,0.000561362268795027,"5594/994/7157/1956/993/5743",6,"MAPK1/CDC25B/TP53/EGFR/CDC25A/PTGS2"
