"pathway","gene_count","genes","pvalue","qvalue","fold_enrichment","pathway_clean"
"Drug metabolism - cytochrome P450",6,"CYP2C9, CYP3A4, CYP2A6, CYP2D6, CYP1A2, CYP51A1",0.01,0.012,15,"Drug metabolism - cytochrom..."
"DNA repair and replication",4,"TOP1, TDP1, TERT, RECQL",0.01,0.012,10,"DNA repair and replication"
"Arachidonic acid metabolism",3,"PTGS2, ALOX5, PTGS1",0.01,0.012,7.5,"Arachidonic acid metabolism"
"Carbon metabolism",3,"CA4, CA7, CA12",0.01,0.012,7.5,"Carbon metabolism"
"Cell cycle and apoptosis",3,"MAPK1, TP53, EGFR",0.01,0.012,7.5,"Cell cycle and apoptosis"
"PPAR signaling pathway",3,"PPARD, PPARG, PPARA",0.01,0.012,7.5,"PPAR signaling pathway"
"Calcium signaling pathway",2,"TRPA1, CACNA1C",0.02,0.024,5,"Calcium signaling pathway"
"Cell cycle regulation",2,"CDC25A, CDC25B",0.02,0.024,5,"Cell cycle regulation"
"Fatty acid metabolism",2,"FABP4, FABP5",0.02,0.024,5,"Fatty acid metabolism"
"HIF-1 signaling pathway",2,"HIF1A, ALDH1A1",0.02,0.024,5,"HIF-1 signaling pathway"
"Steroid hormone signaling",2,"AR, THRB",0.02,0.024,5,"Steroid hormone signaling"
"Chromatin modification",1,"KDM4E",0.05,0.06,2.5,"Chromatin modification"
"Drug transport",1,"SLC22A1",0.05,0.06,2.5,"Drug transport"
"Endocannabinoid signaling",1,"CNR2",0.05,0.06,2.5,"Endocannabinoid signaling"
"Glycolysis/Gluconeogenesis",1,"PKM",0.05,0.06,2.5,"Glycolysis/Gluconeogenesis"
"Insulin signaling pathway",1,"PTPN1",0.05,0.06,2.5,"Insulin signaling pathway"
"Neurodegenerative diseases",1,"MAPT",0.05,0.06,2.5,"Neurodegenerative diseases"
"Nuclear organization",1,"LMNA",0.05,0.06,2.5,"Nuclear organization"
"Prostaglandin metabolism",1,"HPGD",0.05,0.06,2.5,"Prostaglandin metabolism"
"RNA processing",1,"SMN1",0.05,0.06,2.5,"RNA processing"
"Steroid metabolism",1,"HSD17B10",0.05,0.06,2.5,"Steroid metabolism"
"Thyroid hormone signaling",1,"TSHR",0.05,0.06,2.5,"Thyroid hormone signaling"
