"protein1","protein2","combined_score"
"9606.ENSP00000215832","9606.ENSP00000356438",780
"9606.ENSP00000215832","9606.ENSP00000340820",952
"9606.ENSP00000215832","9606.ENSP00000379904",912
"9606.ENSP00000215832","9606.ENSP00000437955",985
"9606.ENSP00000215832","9606.ENSP00000269305",998
"9606.ENSP00000245960","9606.ENSP00000303706",938
"9606.ENSP00000260682","9606.ENSP00000363512",955
"9606.ENSP00000260682","9606.ENSP00000356438",936
"9606.ENSP00000260682","9606.ENSP00000354612",936
"9606.ENSP00000260682","9606.ENSP00000297785",928
"9606.ENSP00000260682","9606.ENSP00000342007",947
"9606.ENSP00000260682","9606.ENSP00000496150",781
"9606.ENSP00000260682","9606.ENSP00000498939",980
"9606.ENSP00000260682","9606.ENSP00000301141",946
"9606.ENSP00000269305","9606.ENSP00000437955",999
"9606.ENSP00000269305","9606.ENSP00000303706",861
"9606.ENSP00000269305","9606.ENSP00000379904",705
"9606.ENSP00000269305","9606.ENSP00000363822",905
"9606.ENSP00000269305","9606.ENSP00000215832",998
"9606.ENSP00000269305","9606.ENSP00000356438",974
"9606.ENSP00000269305","9606.ENSP00000309572",902
"9606.ENSP00000269305","9606.ENSP00000320171",825
"9606.ENSP00000269305","9606.ENSP00000354522",947
"9606.ENSP00000269305","9606.ENSP00000275493",943
"9606.ENSP00000269305","9606.ENSP00000370083",714
"9606.ENSP00000275493","9606.ENSP00000356438",836
"9606.ENSP00000275493","9606.ENSP00000360683",997
"9606.ENSP00000275493","9606.ENSP00000340820",830
"9606.ENSP00000275493","9606.ENSP00000363822",864
"9606.ENSP00000275493","9606.ENSP00000437955",934
"9606.ENSP00000275493","9606.ENSP00000269305",943
"9606.ENSP00000297785","9606.ENSP00000498939",937
"9606.ENSP00000297785","9606.ENSP00000342007",931
"9606.ENSP00000297785","9606.ENSP00000301141",924
"9606.ENSP00000297785","9606.ENSP00000260682",928
"9606.ENSP00000301141","9606.ENSP00000496150",953
"9606.ENSP00000301141","9606.ENSP00000498939",975
"9606.ENSP00000301141","9606.ENSP00000342007",969
"9606.ENSP00000301141","9606.ENSP00000260682",946
"9606.ENSP00000301141","9606.ENSP00000297785",924
"9606.ENSP00000303706","9606.ENSP00000245960",938
"9606.ENSP00000303706","9606.ENSP00000269305",861
"9606.ENSP00000309572","9606.ENSP00000269305",902
"9606.ENSP00000309572","9606.ENSP00000437955",702
"9606.ENSP00000320171","9606.ENSP00000269305",825
"9606.ENSP00000320171","9606.ENSP00000437955",996
"9606.ENSP00000337353","9606.ENSP00000354522",992
"9606.ENSP00000340820","9606.ENSP00000275493",830
"9606.ENSP00000340820","9606.ENSP00000215832",952
"9606.ENSP00000342007","9606.ENSP00000260682",947
"9606.ENSP00000342007","9606.ENSP00000297785",931
"9606.ENSP00000342007","9606.ENSP00000498939",968
"9606.ENSP00000342007","9606.ENSP00000301141",969
"9606.ENSP00000354522","9606.ENSP00000337353",992
"9606.ENSP00000354522","9606.ENSP00000269305",947
"9606.ENSP00000354612","9606.ENSP00000363512",970
"9606.ENSP00000354612","9606.ENSP00000260682",936
"9606.ENSP00000354612","9606.ENSP00000356438",946
"9606.ENSP00000356438","9606.ENSP00000437955",831
"9606.ENSP00000356438","9606.ENSP00000269305",974
"9606.ENSP00000356438","9606.ENSP00000363512",973
"9606.ENSP00000356438","9606.ENSP00000275493",836
"9606.ENSP00000356438","9606.ENSP00000260682",936
"9606.ENSP00000356438","9606.ENSP00000215832",780
"9606.ENSP00000356438","9606.ENSP00000354612",946
"9606.ENSP00000360683","9606.ENSP00000275493",997
"9606.ENSP00000363512","9606.ENSP00000356438",973
"9606.ENSP00000363512","9606.ENSP00000354612",970
"9606.ENSP00000363512","9606.ENSP00000260682",955
"9606.ENSP00000363822","9606.ENSP00000275493",864
"9606.ENSP00000363822","9606.ENSP00000269305",905
"9606.ENSP00000363822","9606.ENSP00000437955",871
"9606.ENSP00000370083","9606.ENSP00000269305",714
"9606.ENSP00000379904","9606.ENSP00000269305",705
"9606.ENSP00000379904","9606.ENSP00000215832",912
"9606.ENSP00000437955","9606.ENSP00000275493",934
"9606.ENSP00000437955","9606.ENSP00000356438",831
"9606.ENSP00000437955","9606.ENSP00000309572",702
"9606.ENSP00000437955","9606.ENSP00000215832",985
"9606.ENSP00000437955","9606.ENSP00000320171",996
"9606.ENSP00000437955","9606.ENSP00000363822",871
"9606.ENSP00000437955","9606.ENSP00000269305",999
"9606.ENSP00000496150","9606.ENSP00000498939",961
"9606.ENSP00000496150","9606.ENSP00000301141",953
"9606.ENSP00000496150","9606.ENSP00000260682",781
"9606.ENSP00000498939","9606.ENSP00000297785",937
"9606.ENSP00000498939","9606.ENSP00000260682",980
"9606.ENSP00000498939","9606.ENSP00000301141",975
"9606.ENSP00000498939","9606.ENSP00000496150",961
"9606.ENSP00000498939","9606.ENSP00000342007",968
